{city: Tokyo, timestamp: 2026-01-27 18:52:31, temperature_f: 60}
{city: Tokyo, timestamp: 2026-01-27 18:52:31, temperature_f: 60}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Tokyo, timestamp: 2026-01-27 18:52:31, temperature_f: 60}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Tokyo, timestamp: 2026-01-27 18:52:31, temperature_f: 60}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Tokyo, timestamp: 2026-01-27 18:52:31, temperature_f: 60}
{city: Tokyo, timestamp: 2026-01-27 18:52:31, temperature_f: 60}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Tokyo, timestamp: 2026-01-27 18:52:31, temperature_f: 60}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Tokyo, timestamp: 2026-01-27 18:52:31, temperature_f: 60}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Tokyo, timestamp: 2026-01-27 18:52:31, temperature_f: 60}
{city: Tokyo, timestamp: 2026-01-27 18:52:31, temperature_f: 60}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Tokyo, timestamp: 2026-01-27 18:52:31, temperature_f: 60}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Tokyo, timestamp: 2026-01-27 18:52:31, temperature_f: 60}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: London, timestamp: 2026-01-27 19:06:34, temperature_f: 88}
{city: Pittsburgh, timestamp: 2026-01-27 19:06:34, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 19:06:34, temperature_f: 64}
{city: Tokyo, timestamp: 2026-01-27 19:06:34, temperature_f: 60}
{city: London, timestamp: 2026-01-27 19:06:34, temperature_f: 88}
{city: Pittsburgh, timestamp: 2026-01-27 19:06:34, temperature_f: 64}
{city: Tokyo, timestamp: 2026-01-27 19:06:34, temperature_f: 60}
{city: London, timestamp: 2026-01-27 19:06:34, temperature_f: 88}
{city: London, timestamp: 2026-01-27 19:06:34, temperature_f: 88}
{city: London, timestamp: 2026-01-27 19:06:34, temperature_f: 88}
{city: Tokyo, timestamp: 2026-01-27 18:52:31, temperature_f: 60}
{city: Tokyo, timestamp: 2026-01-27 18:52:31, temperature_f: 60}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Tokyo, timestamp: 2026-01-27 18:52:31, temperature_f: 60}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: Tokyo, timestamp: 2026-01-27 18:52:31, temperature_f: 60}
{city: Pittsburgh, timestamp: 2026-01-27 18:52:31, temperature_f: 64}
{city: London, timestamp: 2026-01-27 19:06:34, temperature_f: 88}
{city: Pittsburgh, timestamp: 2026-01-27 19:06:34, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 19:06:34, temperature_f: 64}
{city: Tokyo, timestamp: 2026-01-27 19:06:34, temperature_f: 60}
{city: London, timestamp: 2026-01-27 19:06:34, temperature_f: 88}
{city: Pittsburgh, timestamp: 2026-01-27 19:06:34, temperature_f: 64}
{city: Tokyo, timestamp: 2026-01-27 19:06:34, temperature_f: 60}
{city: London, timestamp: 2026-01-27 19:06:34, temperature_f: 88}
{city: London, timestamp: 2026-01-27 19:06:34, temperature_f: 88}
{city: London, timestamp: 2026-01-27 19:06:34, temperature_f: 88}
{city: Pittsburgh, timestamp: 2026-01-27 19:07:30, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 19:07:30, temperature_f: 64}
{city: Nairobi, timestamp: 2026-01-27 19:07:30, temperature_f: 88}
{city: Tokyo, timestamp: 2026-01-27 19:07:30, temperature_f: 60}
{city: Tokyo, timestamp: 2026-01-27 19:07:30, temperature_f: 60}
{city: Pittsburgh, timestamp: 2026-01-27 19:07:30, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 19:07:30, temperature_f: 64}
{city: Pittsburgh, timestamp: 2026-01-27 19:07:30, temperature_f: 64}
{city: Nairobi, timestamp: 2026-01-27 19:07:30, temperature_f: 88}
{city: Pittsburgh, timestamp: 2026-01-27 19:07:30, temperature_f: 64}
